urlImagem,imageAntes,imageDepois,urlTema
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/ft_base.jpg,44700,26268,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/ft_base.jpg,44700,26268,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/ft_base.jpg,44700,26268,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/bg_total.jpg,135633,75025,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/header/bg_header.jpg,357526,207795,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/header/capa_modulo.jpg,280548,112536,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/header/capa_modulo.jpg,280548,112536,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/header/capa_modulo.jpg,280548,112536,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/header/capa_modulo.jpg,280548,112536,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s7.jpg,709826,622119,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s20_mobile.jpg,556762,299305,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s20.jpg,333055,252303,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s26_mobile.jpg,593258,302540,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s26.jpg,408591,273727,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s84.jpg,230391,192936,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s89.jpg,360932,308950,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s107.jpg,282484,240059,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/header/logo_tema.png,26926,28813,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
